"id","country","year","expectancy","drinkingwater","handwash","birthattended","gdpspent","literacy","meddoctor","nursemidwives","stuteacherratio"
1,"Afghanistan",2000,"54.99","21.62",NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,"Afghanistan",2010,"59.94","35.994","37.08","34.3","3.4795",NULL,"1.916","5.102500000000001","43.34126666666666"
3,"Afghanistan",2015,"61.65","47.588","37.444","43.55","3.2558","34.95458","2.722","1.76","43.3884"
4,"Afghanistan",2019,"63.21","56.08","37.71","56.099999999999994","4.0589",NULL,"2.78","1.62","48.7898"
5,"Albania",2000,"73.55","81.78",NULL,NULL,NULL,NULL,"13.855","42.808",NULL
6,"Albania",2010,"76.25","82.19000000000001",NULL,"99.3","3.2759","95.938637","12.11","41.4225","19.7021"
7,"Albania",2015,"77.84","86.18400000000001",NULL,NULL,"3.438","97.21539066666666","12.556666666666667","42.946666666666665","19.2424"
8,"Albania",2019,"78.0","89.88",NULL,"99.8","3.0395000000000003",NULL,"12.16","36.5","17.5729"
9,"Algeria",2000,"72.21","83.32",NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,"Algeria",2010,"75.85","86.18599999999999","83.02","95.2","4.337","73.89236449999999","11.96","19.29","23.328000000000003"
11,"Algeria",2015,"76.54","87.976","83.372","96.6",NULL,"79.608398",NULL,"2.86","23.8361"
12,"Algeria",2019,"77.13","88.69","83.695",NULL,NULL,NULL,"17.8","20.046666666666667","24.3202"
13,"Angola",2000,"49.3","21.15",NULL,NULL,NULL,NULL,"0.59","9.16",NULL
14,"Angola",2010,"58.07","24.139999999999997",NULL,"47.3","2.8514",NULL,"1.31","13.14","45.5865"
15,"Angola",2015,"61.72","25.98","26.1525",NULL,NULL,"71.07762550000001",NULL,"0.012","46.2863"
16,"Angola",2019,"63.06","27.259999999999998","26.59","46.6",NULL,NULL,"2.15","4.08",NULL
17,"Antigua and Barbuda",2000,"74.56","98.25",NULL,"99.9",NULL,NULL,"1.61","31.19","18.741"
18,"Antigua and Barbuda",2010,"75.95","97.322",NULL,"99.97999999999999","2.5172",NULL,"11.205","32.98","15.0656"
19,"Antigua and Barbuda",2015,"76.14","96.80999999999999",NULL,"100.0",NULL,"98.949997",NULL,"45.99","14.08965"
20,"Antigua and Barbuda",2019,"76.45","96.74",NULL,"100.0",NULL,NULL,"29.56","45.00333333333333","12.4056"
21,"Argentina",2000,"74.09","76.4",NULL,"99.1",NULL,NULL,"30.17","8.04",NULL
22,"Argentina",2010,"75.44","87.458",NULL,"97.3","5.0197",NULL,NULL,NULL,"17.2297"
23,"Argentina",2015,"76.17","92.704",NULL,"98.3","5.7761","98.061996","39.39","42.46",NULL
24,"Argentina",2019,"76.58","96.31",NULL,"96.15","5.4622",NULL,"39.955","25.91",NULL
25,"Armenia",2000,"71.88","88.56","83.25",NULL,NULL,NULL,"10.766000000000002","59.09",NULL
26,"Armenia",2010,"73.12","94.602","88.19800000000001","99.79999999999998","3.5449",NULL,"27.23","51.74399999999999","19.3076"
27,"Armenia",2015,"74.51","98.38399999999999","91.412","100.0","2.52655","99.7564125","28.95","51.79600000000001",NULL
28,"Armenia",2019,"76.03","100.0","93.71000000000001","99.8","2.7076",NULL,"44.02","61.07","15.4186"
29,"Australia",2000,"79.69","99.06",NULL,"99.3","4.8915",NULL,"25.31","5.99",NULL
30,"Australia",2010,"81.9","99.548",NULL,"99.16","5.5501",NULL,"30.574","84.33200000000001",NULL
31,"Australia",2015,"82.28","99.922",NULL,"99.4","5.312",NULL,"33.694","114.4",NULL
32,"Australia",2019,"83.04","100.0",NULL,"96.85","5.2716",NULL,"36.225","124.8",NULL
33,"Austria",2000,"78.17","100.0",NULL,"98.3",NULL,NULL,"37.148","54.43399999999999",NULL
34,"Austria",2010,"80.39","100.0",NULL,"98.55999999999999","5.7005",NULL,"46.292","65.422","11.0283"
35,"Austria",2015,"80.98","100.0",NULL,"98.52000000000001","5.4568","98.0","49.68","69.01","10.5842"
36,"Austria",2019,"81.65","100.0",NULL,"98.40000000000002","5.5007",NULL,"51.465","47.903333333333336","10.0165"
37,"Azerbaijan",2000,"65.52","54.93",NULL,"92.1",NULL,"98.791801","36.07000000000001","91.602",NULL
38,"Azerbaijan",2010,"69.03","70.674","83.24","97.2","2.7806","99.71096533333333","36.598","80.22399999999999","11.0422"
39,"Azerbaijan",2015,"70.67","76.996","83.24","99.82000000000001","2.9517","99.7876022","34.575","68.64","13.4979"
40,"Azerbaijan",2019,"71.43","81.0","83.24","99.66666666666667","2.4738",NULL,NULL,NULL,"15.4298"
41,"Bahamas",2000,"70.94","98.25",NULL,"99.0","2.2328",NULL,"10.74","45.53",NULL
42,"Bahamas",2010,"72.96","98.586",NULL,"99.0",NULL,NULL,"27.55","40.47","14.1453"
43,"Bahamas",2015,"72.92","98.80199999999999",NULL,"98.725",NULL,NULL,"23.08","40.55","21.0412"
44,"Bahamas",2019,"73.21","98.89",NULL,"99.0",NULL,NULL,"20.07","39.09","19.4489"
45,"Bahrain",2000,"70.47","99.9",NULL,"97.7",NULL,NULL,"10.2","29.81",NULL
46,"Bahrain",2010,"74.52","99.98",NULL,"98.22","2.4968","94.556793","9.878","25.6575",NULL
47,"Bahrain",2015,"76.46","100.0",NULL,"99.78","2.596766666666667","95.717262","9.478","24.934","11.7316"
48,"Bahrain",2019,"75.81","100.0",NULL,"99.80000000000001","2.3272",NULL,NULL,NULL,"11.9232"
49,"Bangladesh",2000,"65.59","94.15",NULL,NULL,NULL,NULL,NULL,NULL,NULL
50,"Bangladesh",2010,"70.29","95.47600000000001","33.062","21.53333333333333","1.9394",NULL,"3.4120000000000004","1.9259999999999997","44.366600000000005"
51,"Bangladesh",2015,"73.58","96.15599999999999","34.022000000000006","36.06666666666667","2.07085","61.034525","4.362","2.282",NULL
52,"Bangladesh",2019,"74.25","96.655","34.71","56.76666666666667","1.76075",NULL,"5.403333333333332","3.3066666666666666","30.0546"
53,"Barbados",2000,"74.5","98.32",NULL,"98.0",NULL,NULL,"13.44","58.27",NULL
54,"Barbados",2010,"75.88","98.4","88.46999999999998","100.0","5.4797",NULL,NULL,NULL,"13.77485"
55,"Barbados",2015,"76.22","98.45","88.47","99.25999999999999","6.2294",NULL,NULL,NULL,"13.4032"
56,"Barbados",2019,"76.03","98.485","88.47","99.1","4.8746",NULL,"24.84","30.395000000000003","13.9917"
57,"Belarus",2000,"68.85","98.88",NULL,"99.9",NULL,"99.59072900000001","32.19","89.46",NULL
58,"Belarus",2010,"70.39","97.864",NULL,"99.9","5.0917","99.617058","33.188","103.34","14.9662"
59,"Belarus",2015,"73.82","96.312",NULL,"99.8","4.73615","99.722038","49.303999999999995","108.7","17.5701"
60,"Belarus",2019,"74.81","95.97",NULL,NULL,"4.795",NULL,NULL,NULL,"19.2326"
61,"Belgium",2000,"77.66","100.0",NULL,NULL,NULL,NULL,"28.064999999999998",NULL,NULL
62,"Belgium",2010,"79.85","100.0",NULL,NULL,"6.408",NULL,"28.942","97.826","11.0343"
63,"Belgium",2015,"80.71","100.0",NULL,NULL,"6.58955",NULL,"29.612000000000002","109.86000000000001","11.2313"
64,"Belgium",2019,"81.42","100.0",NULL,NULL,"6.5451",NULL,"30.695","168.03333333333333","11.277000000000001"
65,"Belize",2000,"70.34","84.26",NULL,NULL,NULL,NULL,"10.15","12.25",NULL
66,"Belize",2010,"73.39","90.242","78.178","93.78","6.6296",NULL,"7.66","18.11","22.2434"
67,"Belize",2015,"74.05","94.096","83.976","93.13333333333333","6.7662","82.77681700000001","8.555","15.4825","20.4364"
68,"Belize",2019,"74.41","96.82","89.32","94.2","7.3788",NULL,"11.23","20.069999999999997","19.684800000000003"
69,"Benin",2000,"56.59","52.04","1.03",NULL,NULL,NULL,NULL,NULL,NULL
70,"Benin",2010,"60.47","55.302","5.624","74.0","5.0293","28.702109999999998","0.5900000000000001","6.359999999999999","46.3918"
71,"Benin",2015,"61.96","57.162","8.935999999999998","79.05000000000001","4.3564","38.447140000000005","1.36","5.623333333333334","44.622749999999996"
72,"Benin",2019,"63.43","58.22","11.004999999999999","78.1","4.0381",NULL,"0.635","5.745","41.46893333333333"
73,"Bhutan",2000,"65.7","78.3",NULL,NULL,NULL,NULL,NULL,NULL,NULL
74,"Bhutan",2010,"71.01","87.956","79.24199999999999","61.5","4.0245",NULL,"2.36","9.059999999999999","25.8961"
75,"Bhutan",2015,"72.15","93.736","79.66499999999999","83.6","6.6126000000000005","60.470209000000004","3.1174999999999997","12.4375","31.99515"
76,"Bhutan",2019,"73.11","96.73",NULL,"94.13333333333333","6.6404",NULL,"4.1066666666666665","16.733333333333334","34.6687"
77,"Bolivia (Plurinational State of)",2000,"66.02","54.22",NULL,NULL,NULL,NULL,NULL,NULL,NULL
78,"Bolivia (Plurinational State of)",2010,"70.34","65.796","25.15","71.1",NULL,NULL,"3.8549999999999995","7.205",NULL
79,"Bolivia (Plurinational State of)",2015,"71.52","72.702","25.258000000000003","78.775",NULL,NULL,"4.67","9.6",NULL
80,"Bolivia (Plurinational State of)",2019,"72.14","77.44","25.365000000000002","86.93333333333334",NULL,NULL,"15.9","13.385",NULL
81,"Bosnia and Herzegovina",2000,"75.42","96.26",NULL,"98.9",NULL,"96.663101","14.55","44.915",NULL
82,"Bosnia and Herzegovina",2010,"76.19","96.452","97.10666666666667","99.9",NULL,NULL,"16.851999999999997","51.896",NULL
83,"Bosnia and Herzegovina",2015,"76.32","95.174","97.14","99.9",NULL,"98.43170549999999","20.318","59.428","17.164"
84,"Bosnia and Herzegovina",2019,"76.75","94.85","97.16","99.90000000000002",NULL,NULL,NULL,"55.90333333333333","16.9265"
85,"Botswana",2000,"45.59","53.58",NULL,"97.3",NULL,NULL,"2.9599999999999995","28.116666666666664",NULL
86,"Botswana",2010,"58.14","59.367999999999995",NULL,"98.16","9.6329",NULL,"3.682","29.274","25.3688"
87,"Botswana",2015,"60.93","68.288",NULL,"99.74000000000001",NULL,"87.96596149999999","4.039999999999999","21.55333333333333","23.564300000000003"
88,"Botswana",2019,"62.25","74.62",NULL,"99.75",NULL,NULL,"5.27","47.59",NULL
89,"Brazil",2000,"71.47","74.08",NULL,"98.6",NULL,"86.367882","12.66","24.974",NULL
90,"Brazil",2010,"74.09","80.97200000000001",NULL,"98.76000000000002","5.6488","90.0677216","17.686","9.7","22.1661"
91,"Brazil",2015,"75.13","85.28",NULL,"99.05999999999999","5.98925","91.70503425000001","18.655","84.86666666666666","20.5853"
92,"Brazil",2019,"75.9","88.805",NULL,"99.1",NULL,NULL,"21.645","97.36","20.2231"
93,"Brunei Darussalam",2000,"72.2","99.9",NULL,"99.2","3.7059",NULL,"10.08","38.9",NULL
94,"Brunei Darussalam",2010,"74.57","99.9",NULL,"99.76000000000002","2.0466",NULL,"12.441999999999998","56.29","11.6494"
95,"Brunei Darussalam",2015,"74.4","99.9",NULL,"99.8","3.3532",NULL,"15.904","73.49","10.0166"
96,"Brunei Darussalam",2019,"74.32","99.9",NULL,"99.9","4.4254",NULL,"16.09","61.56","9.8952"
97,"Bulgaria",2000,"71.61","99.47",NULL,"99.8",NULL,NULL,"35.0","61.46",NULL
98,"Bulgaria",2010,"73.64","98.94",NULL,"99.53999999999999","3.8635",NULL,"37.032000000000004","46.93599999999999","17.4901"
99,"Bulgaria",2015,"74.55","98.44",NULL,"99.73333333333333","4.0769","98.370514","39.436","48.23800000000001","17.7336"
100,"Bulgaria",2019,"75.07","98.1",NULL,NULL,NULL,NULL,NULL,NULL,"16.4088"
101,"Burkina Faso",2000,"51.64","50.79","5.88",NULL,NULL,"12.84817",NULL,NULL,NULL
102,"Burkina Faso",2010,"58.59","44.152","8.831999999999999","59.7","4.2638","25.600894999999998","0.41","4.433333333333334","52.3999"
103,"Burkina Faso",2015,"60.92","39.15","10.554","79.8","4.1661","36.1730555","0.49799999999999994","5.348","42.1772"
104,"Burkina Faso",2019,"62.7","35.519999999999996","11.715",NULL,"6.0361",NULL,"0.75","7.71","39.7217"
105,"Burundi",2000,"43.78","47.84",NULL,NULL,NULL,"59.303619",NULL,NULL,NULL
106,"Burundi",2010,"58.6","51.907999999999994","6.049999999999999","60.3","6.7753","86.947868","0.48","6.89","50.6021"
107,"Burundi",2015,"62.05","54.507999999999996","6.1259999999999994",NULL,"6.177933333333333","85.496094","0.528","6.848000000000001","43.43745"
108,"Burundi",2019,"63.84","56.355000000000004","6.14","85.1","5.0108",NULL,"1.0","8.53","46.069050000000004"
109,"Cabo Verde",2000,"70.97","70.31",NULL,NULL,NULL,NULL,NULL,NULL,NULL
110,"Cabo Verde",2010,"74.12","71.12",NULL,"79.9","5.464766666666667",NULL,"5.545","10.605","23.6404"
111,"Cabo Verde",2015,"74.88","71.83200000000001",NULL,"94.5","5.2669",NULL,"6.2075","9.668000000000001","21.9478"
112,"Cabo Verde",2019,"74.03","75.05",NULL,"92.5","5.231",NULL,NULL,"12.433333333333332","21.0736"
113,"Cambodia",2000,"58.68","47.05",NULL,NULL,NULL,"67.33503","1.4333333333333333","9.94",NULL
114,"Cambodia",2010,"67.22","59.19199999999999","65.35666666666667","71.0","1.5338","75.743286","2.373333333333333","8.516666666666667","49.91716666666667"
115,"Cambodia",2015,"69.17","66.80799999999999","65.782","80.35","1.8402666666666665","78.34594","2.65","9.282","45.5212"
116,"Cambodia",2019,"70.12","72.14500000000001","66.17",NULL,"2.1629",NULL,NULL,"7.023333333333333","41.683099999999996"
117,"Cameroon",2000,"52.82","37.94",NULL,NULL,NULL,"68.409157",NULL,NULL,NULL
118,"Cameroon",2010,"56.58","38.908","8.91","58.9","2.9937","70.9852255","0.7399999999999999","4.503333333333333","45.915"
119,"Cameroon",2015,"59.11","39.068","9.120000000000001","60.400000000000006","2.7444333333333333","74.98558","0.88","4.609","42.8305"
120,"Cameroon",2019,"62.36","39.01","9.365","69.0","3.1453",NULL,NULL,NULL,"43.78475"
121,"Canada",2000,"79.1","98.18",NULL,"99.3","5.442",NULL,NULL,NULL,"17.416"
122,"Canada",2010,"81.31","98.39399999999999",NULL,"98.68","5.3699",NULL,NULL,NULL,NULL
123,"Canada",2015,"81.76","98.664",NULL,"98.05999999999999","5.2744",NULL,NULL,"96.82000000000001",NULL
124,"Canada",2019,"82.24","98.85499999999999",NULL,"97.89999999999999",NULL,NULL,"23.11","99.24333333333334",NULL
125,"Central African Republic",2000,"44.34","44.01",NULL,NULL,NULL,"50.645168",NULL,NULL,NULL
126,"Central African Republic",2010,"48.51","37.302","16.474","41.699999999999996","1.2038","36.752609","0.43999999999999995","2.2399999999999998","89.46645000000001"
127,"Central African Republic",2015,"50.53","33.93","16.565",NULL,"1.1079","36.752609","0.72","1.6099999999999999","80.71315"
128,"Central African Republic",2019,"53.1","33.75",NULL,NULL,NULL,NULL,NULL,NULL,"83.412"
129,"Chad",2000,"51.08","31.73",NULL,NULL,NULL,"25.654208999999998","0.2575","0.7225",NULL
130,"Chad",2010,"55.65","30.75",NULL,"16.6","1.9819",NULL,"0.35","1.81","61.61175"
131,"Chad",2015,"57.91","30.064","5.726000000000001","24.3","2.438266666666667","39.5339565","0.44499999999999995","2.8325","55.5418"
132,"Chad",2019,"59.63","29.545","5.805",NULL,"2.2419",NULL,"0.44999999999999996","2.32","56.8879"
133,"Chile",2000,"76.77","74.56",NULL,"99.0",NULL,NULL,NULL,NULL,NULL
134,"Chile",2010,"78.46","87.14999999999999",NULL,"99.78","4.1964","98.60134500000001","11.155999999999999","3.336","23.4115"
135,"Chile",2015,"79.82","95.01599999999999",NULL,"99.78","4.8753","96.53374733333334","18.776","48.322","18.3778"
136,"Chile",2019,"80.74","99.16499999999999",NULL,"99.75","5.4027",NULL,"24.42","122.33333333333333","17.7936"
137,"China",2000,"71.58","70.4",NULL,"96.6",NULL,"90.920212","11.983999999999998","9.528000000000002",NULL
138,"China",2010,"74.89","77.34599999999999",NULL,"98.84",NULL,"95.124481","13.354","12.576","16.8438"
139,"China",2015,"76.64","82.256",NULL,"99.84",NULL,"96.357452","16.19","19.660000000000004","16.5414"
140,"China",2019,"77.43","85.665",NULL,"99.9",NULL,NULL,"19.225","25.645000000000003","16.4268"
141,"Colombia",2000,"73.75","71.1",NULL,"92.9",NULL,"91.207161","12.795000000000002","5.115",NULL
142,"Colombia",2010,"77.09","78.328",NULL,"97.28","4.8416","92.9893342","15.433999999999997","7.796000000000001","28.720100000000002"
143,"Colombia",2015,"78.35","82.84","64.99333333333334","98.91999999999999","4.4704","94.11368033333333","18.417499999999997","10.468","24.2394"
144,"Colombia",2019,"79.31","86.0","65.325","98.93333333333334","4.5026",NULL,"21.083333333333332","12.746666666666668","23.3015"
145,"Comoros",2000,"61.51","89.65",NULL,NULL,NULL,"68.489227",NULL,NULL,NULL
146,"Comoros",2010,"64.98","83.52","15.550000000000002",NULL,"4.4227",NULL,"1.9","7.03","30.1533"
147,"Comoros",2015,"66.45","78.38","15.560000000000002","82.2","2.4871","77.8553315","1.7","6.595000000000001","27.808000000000003"
148,"Comoros",2019,"67.39","76.91","15.57",NULL,NULL,NULL,"2.72","6.29","28.0578"
149,"Congo",2000,"52.12","18.01",NULL,NULL,NULL,NULL,"7.3",NULL,NULL
150,"Congo",2010,"60.95","27.418",NULL,NULL,"6.2208",NULL,"1.43","9.133333333333333","56.763149999999996"
151,"Congo",2015,"63.11","37.24400000000001","47.52","91.85","4.5615","79.311172","1.65","10.754999999999999","44.442"
152,"Congo",2019,"64.74","44.629999999999995","47.905",NULL,"3.6364",NULL,NULL,"6.865",NULL
153,"Costa Rica",2000,"78.0","87.02",NULL,"98.4",NULL,"94.868187","13.13","9.22",NULL
154,"Costa Rica",2010,"79.56","93.304","83.76","98.16","6.6345",NULL,"21.63","16.767999999999997","17.8517"
155,"Costa Rica",2015,"80.78","97.232","83.81800000000001","97.1","7.0825","97.5269125","19.985999999999997","22.348","12.6763"
156,"Costa Rica",2019,"80.85","99.53",NULL,"98.83333333333333","7.0282",NULL,"24.076666666666668","31.996666666666666","12.2047"
157,"Croatia",2000,"74.36","100.0",NULL,"99.9",NULL,NULL,"25.851999999999997","47.134",NULL
158,"Croatia",2010,"76.72","98.23799999999999",NULL,"99.9","4.2379",NULL,"27.107999999999997","55.69","14.2561"
159,"Croatia",2015,"77.58","99.318",NULL,"99.9","4.35205","99.198975","30.372000000000003","60.88199999999999","13.702"
160,"Croatia",2019,"78.64","99.57",NULL,"99.9",NULL,NULL,"30.0","81.22","13.5061"
161,"Cuba",2000,"76.76","80.2",NULL,"99.9",NULL,NULL,"57.459999999999994",NULL,NULL
162,"Cuba",2010,"77.65","85.18599999999999","85.15","99.9","12.35275",NULL,"65.808","89.35","9.1287"
163,"Cuba",2015,"77.91","88.38199999999999","85.178","99.9",NULL,"99.73162450000001","74.08200000000002","80.14333333333333","8.8992"
164,"Cuba",2019,"77.76","90.31","85.195","99.90000000000002",NULL,NULL,"82.23666666666668","77.16000000000001","9.1603"
165,"Cyprus",2000,"78.75","100.0",NULL,"97.9",NULL,NULL,"18.939999999999998","32.086",NULL
166,"Cyprus",2010,"81.02","99.792",NULL,"98.17999999999999","6.5803",NULL,"20.330000000000002","34.025999999999996","13.7531"
167,"Cyprus",2015,"82.01","99.618",NULL,"98.28","6.3753","98.8691025","24.150000000000002","38.238","11.9151"
168,"Cyprus",2019,"83.14","99.55",NULL,"96.63333333333333","6.2914",NULL,"19.51","52.51","12.0392"
169,"Czechia",2000,"74.95","99.61",NULL,"99.8",NULL,NULL,"31.064","78.45399999999998",NULL
170,"Czechia",2010,"77.56","99.72",NULL,"99.66","4.0645",NULL,"35.338","84.264","17.1824"
171,"Czechia",2015,"78.46","99.8",NULL,"99.85","5.7889","99.0","37.522000000000006","83.686","18.9318"
172,"Czechia",2019,"79.13","99.82",NULL,"99.8","5.5874",NULL,"40.693333333333335","83.985",NULL
173,"Côte d’Ivoire",2000,"50.33","55.55",NULL,NULL,NULL,NULL,NULL,NULL,NULL
174,"Côte d’Ivoire",2010,"56.62","56.648","18.656","56.8",NULL,NULL,"1.4","4.71",NULL
175,"Côte d’Ivoire",2015,"60.2","57.312","19.035999999999998","59.4",NULL,NULL,"1.92","5.3225",NULL
176,"Côte d’Ivoire",2019,"62.92","57.769999999999996","19.310000000000002","73.6",NULL,NULL,NULL,"5.566666666666666",NULL
177,"Democratic People's Republic of Korea",2000,"63.95","99.1",NULL,NULL,NULL,NULL,NULL,NULL,NULL
